Sample_id,Plot_id,Site_id,Survey_date,Treatment,Patch,PCT_Number,PCT_Name,Establishment,Total_litter_ex_dung,Sticks_bark,Leaves_overstorey,Leaves_understorey,Coarse_frass,Fine_frass,Seeds_fruits,Woodchip,Dung,MIR_HUM%,MIR_POC%,MIR_ROC%,MIR_TOC%,MIR_TN%,Pmg/Kg,pH,ECmicroS/cm,PLFA_Total_biomass,PLFA_Gram+bacteria,PLFA_Gram-bacteria ,PLFA_General_bacteria,PLFA_Actinobacteria,PLFA_Fungi,PLFA_Protozoa,PLFA_Arbuscular_mycorrhizae,PLFA_Fungi:bacteria,Enzymes_AB,Enzymes_BG,Enzymes_CB,Enzymes_NAG,Enzymes_PHO,Enzymes_XYL,Enzymes_LAP,Resp_Water,Resp_Fructose,Resp_Glucose,Resp_Maltose,Resp_Raffinose,Resp_Sucrose,Resp_Threonine,Resp_Xylose,reads_fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,obs_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,chao1_richness_fungi_OrchidMycorrhizal,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,obs_shannon_fungi_OrchidMycorrhizal,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,relabund_fungi_OrchidMycorrhizal,reads_bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic
22O,22,Mangoola Mine,11/03/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,87,30,15,2,30,10,0,0,2,1.59,1.03,1.28,4.10,0.22,10.10,5.33,131.60,13.46,2.61,3.85,1.85,0.98,0.21,0.17,0.22,0.04,20.5,139.5,28.6,65.8,144.5,26.4,0.4,0.340,0.290,0.367,0.399,0.405,0.405,0.377,0.300,18015,632,774.09,5.22,3,17,25,3,1,5.00,32.00,29.08,6.00,1.00,1.040,1.560,2.665,1.099,0.000,0.000,0.086,0.016,0.000,0.000,40971,2064,3804.34,6.85,826,320,1517.43,573.51,5.94,4.79,0.46,0.19
22T,22,Mangoola Mine,11/03/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,123.7,39,22,1,28,33,0.7,0,10.2,1.93,1.29,1.32,4.84,0.31,15.75,5.84,110.60,15.21,2.80,4.59,2.04,1.01,0.43,0.08,0.29,0.08,45.8,237.8,62.6,85.3,220.2,51.4,27.1,0.392,0.395,0.457,0.486,0.493,0.489,0.441,0.355,30718,707,871.38,5.09,4,19,23,14,2,8.50,37.00,25.00,32.00,3.00,1.332,1.645,2.507,1.343,0.693,0.001,0.156,0.009,0.028,0.000,30789,2150,4142.98,6.86,822,425,1543.28,746.32,5.93,5.14,0.43,0.25
23O,23,Mangoola Mine,11/03/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,122.5,28,16,2,25,51,0.5,0,6.5,1.96,1.62,1.66,5.60,0.36,19.46,5.79,64.10,19.00,3.59,5.81,2.65,1.50,0.37,0.08,0.44,0.05,35.2,169.0,21.5,17.6,77.4,22.1,80.6,0.564,0.582,0.622,0.663,0.674,0.670,0.621,0.483,25090,692,878.67,5.28,4,27,20,9,0,4.25,37.00,21.13,15.00,0.00,1.321,2.379,2.498,0.509,0.000,0.001,0.081,0.022,0.035,0.000,56991,2252,4013.20,6.96,835,450,1442.60,735.19,6.01,5.27,0.43,0.22
23T,23,Mangoola Mine,11/03/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,173.1,37,12,11,34,66,1.1,12,2.3,2.08,1.88,1.89,6.60,0.35,20.53,5.29,176.00,18.19,2.82,5.91,2.69,1.03,0.69,0.20,0.34,0.11,6.0,164.6,13.4,35.6,119.1,132.3,95.1,0.510,0.510,0.573,0.630,0.663,0.654,0.555,0.449,16201,693,859.17,5.22,2,21,25,7,1,2.50,25.50,31.40,8.00,1.00,0.637,1.838,2.469,1.425,0.000,0.000,0.079,0.019,0.004,0.000,41937,2116,3806.99,6.89,762,351,1412.25,551.28,5.81,5.08,0.43,0.19
25O,25,Mangoola Mine,12/03/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,404.2,62,38,40,78,133,17.2,36,1.6,2.39,2.21,2.01,7.48,0.30,16.03,5.31,64.40,15.81,2.60,5.37,2.29,0.31,0.60,0.24,0.23,0.10,7.3,123.2,18.2,44.1,116.0,9.1,37.6,0.329,0.347,0.387,0.415,0.431,0.424,0.383,0.293,34920,711,1067.36,4.93,2,36,14,6,1,3.00,46.00,54.50,10.00,1.00,0.693,1.929,2.376,1.733,0.000,0.000,0.136,0.003,0.001,0.000,38818,1908,3410.45,6.58,621,360,1147.21,542.09,5.38,4.92,0.40,0.20
25T,25,Mangoola Mine,12/03/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,765.7,74,42,3,178,303,7.7,158,5.4,2.68,2.39,2.15,8.66,0.34,24.97,5.25,116.60,13.05,2.14,4.14,1.74,0.76,0.64,0.09,0.16,0.14,20.3,195.4,40.4,108.0,166.0,19.6,74.2,0.410,0.303,0.465,0.526,0.540,0.535,0.462,0.346,31713,575,746.13,4.59,0,27,6,12,1,0.00,27.90,9.00,16.17,1.00,0.000,1.907,1.036,1.680,0.000,0.000,0.163,0.007,0.006,0.000,41671,1799,3086.77,6.53,675,347,1140.45,539.53,5.53,4.95,0.45,0.22
37O,37,Mangoola Mine,15/03/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,272.5,99,36,1,72,62,2.5,0,5.3,1.79,1.71,1.30,5.29,0.32,15.34,5.80,94.00,14.86,2.37,4.86,2.16,0.81,0.61,0.23,0.29,0.11,10.8,203.5,63.0,97.8,241.4,19.9,96.7,0.383,0.547,0.632,0.555,0.569,0.627,0.497,0.445,30710,540,620.90,4.84,5,33,17,10,0,5.50,35.67,37.25,12.00,0.00,1.490,2.354,2.434,1.762,0.000,0.002,0.221,0.006,0.016,0.000,36712,2082,4096.45,6.77,765,398,1431.89,726.50,5.75,5.14,0.43,0.21
37T,37,Mangoola Mine,15/03/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,527.3,101,57,1,112,140,3.3,113,6.3,1.99,1.63,1.41,5.76,0.32,17.78,5.46,182.30,13.35,2.20,4.43,2.03,0.75,0.48,0.10,0.16,0.09,52.6,264.3,68.1,77.0,164.4,51.1,29.2,0.353,0.755,0.703,0.631,0.520,0.877,0.467,0.454,28693,726,958.16,5.29,0,25,20,9,0,0.00,75.00,26.13,11.25,0.00,0.000,1.827,1.600,1.153,0.000,0.000,0.141,0.023,0.008,0.000,33499,2018,3892.44,6.78,794,347,1520.68,572.64,5.79,5.06,0.48,0.18
38O,38,Mangoola Mine,15/03/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,187,68,17,1,37,54,1,9,11.7,2.00,1.61,1.21,5.09,0.28,21.86,5.39,220.00,13.84,2.42,4.16,2.10,0.89,0.35,0.13,0.21,0.07,11.3,65.7,12.7,21.1,63.6,12.4,2.7,0.433,0.691,0.812,0.658,0.611,0.865,0.549,0.418,24967,631,815.59,4.87,0,14,30,2,1,0.00,23.00,38.33,2.00,1.00,0.000,1.139,2.791,0.637,0.000,0.000,0.136,0.015,0.001,0.000,25590,1889,3342.13,6.69,747,243,1345.05,449.10,5.65,4.68,0.51,0.12
38T,38,Mangoola Mine,15/03/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,304.5,95,21,0,72,100,1.5,15,7.7,2.60,2.43,1.57,7.24,0.35,27.68,5.27,185.90,17.00,2.63,5.54,2.72,0.95,0.73,0.35,0.25,0.12,4.5,51.0,9.8,24.1,70.1,5.6,20.8,0.457,0.756,0.807,0.731,0.678,0.947,0.640,0.390,38247,619,736.16,4.90,0,19,20,7,1,0.00,25.00,24.50,13.00,1.00,0.000,1.437,2.381,1.129,0.000,0.000,0.145,0.010,0.004,0.001,26180,1931,3216.60,6.76,793,294,1378.00,472.18,5.82,4.95,0.48,0.15
