Patch Level Data,,
Sample_id,Unique plot by patch sample ID (samples pooled within patch type),
Plot_id,Plot_ID number,
Site_id,Name of mine location,
Survey_date,"Sample date, applies to date of soil sampling",
Treatment,Reference or Rehab,
Patch,Either open (O) or tree (T). ,
PCT_Number,East Coast Classification Plant Community Type Number,
PCT_Name,East Coast Classification Plant Community Type Name,
Establishment,Establishment date,
Total_litter_ex_dung,Total weight (g) all bagged litter excluding dung,
Sticks_bark,Weight (g) sticks and bark,
Leaves_overstorey,Weight (g) leaves -trees and shrubs,
Leaves_understorey,Weight (g) understorey leaves,
Coarse_frass,"Weight (g) of coarse Frass (broken leaves, twigs and bark >4mm diameter <40mm length)",
Fine_frass,Weight (g) of Fine frass (litter components <4mm >2mm),
Seeds_fruits,"Weight (g) reproductive material (seeds, fruits, pods)",
Woodchip,Weight (g) woodchips,
Dung,Weight (g) dung,
MIR_HUM%,Humic carbon,
MIR_POC%,Particulate organic carbon,
MIR_ROC%,Reactive organic carbon,
MIR_TOC%,Total organic carbon,
MIR_TN%,Total N (%),
Pmg/Kg,Colwell P,
pH,Soil pH,
ECmicroS/cm,Electrical conductivity micro-siemens/cm,
PLFA_Total_biomass,ug/g soil,
PLFA_Gram+bacteria,ug/g soil,
PLFA_Gram-bacteria ,ug/g soil,
PLFA_General_bacteria,ug/g soil,
PLFA_Actinobacteria,ug/g soil,
PLFA_Fungi,ug/g soil,
PLFA_Protozoa,ug/g soil,
PLFA_Arbuscular_mycorrhizae,ug/g soil,
PLFA_Fungi:bacteria,ug/g soil (fungal/bacterial markers),
Enzymes_AG,?-Glucosidase,C - Sugar degradation
Enzymes_BG,?-Glucosidase,C - Sugar degradation
Enzymes_CB,Cellobiohydrolase,C - Cellulose degradation
Enzymes_NAG,N-acetyl-glucosaminidase,N - Chitin degradation
Enzymes_PHO,Phosphatase,P - Phosphorus mineralization
Enzymes_XYL,Xylosidase,C - Hemicellulose degradation
Enzymes_LAP,Leucine-amino-peptidase,N - Protein degradation
Resp_Water,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Fructose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Glucose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Maltose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Raffinose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Sucrose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Threonine,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
Resp_Xylose,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),
reads_fungi,number of ITS2 sequence reads passing quality checks and assigned to kingdom Fungi,
obs_richness_fungi,observed number of fungal OTUs following random resampling to constant sequencing depth per sample,
chao1_richness_fungi,estimated number of fungal OTUs using the Chao1 estimator and the resampled OTU table,
obs_shannon_fungi,observed Shannon diversity of fungal OTUs observed following random resampling to constant sequencing depth per sample,
obs_richness_fungi_ArbuscularMycorrhizal,observed number of OTUs assigned to arbuscular mycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,
obs_richness_fungi_Ectomycorrhizal,observed number of OTUs assigned to ectomycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,
