Plot_id,Site_id,Treatment,PCT_Number,PCT_Name,Establishment,SSC_Foliage_cov,SSC_Basal_cov,SSC_Litter _cov,SSC_litter_origin,SSC_Litter_inc,SSC_Crypt_CovCode,SSC_brokeness,SSC_Erosion_cov,SSC_Deposited_Cov,SSC_roughness,SSC_Rest_adj,SSC_Stability,SSC_Texture,Stability_ind,Infiltration_ind,Nutrient_ind,NativeP_richness,EG_Rich,EX_Rich,FG_Rich,GG_Rich,HT_Rich,OG_Rich,SG_Rich,TG_Rich,EG_Cov,EX_Cov,FG_Cov,GG_Cov,HT_Cov,OG_Cov,SG_Cov,TG_Cov,OS_Cov_BBAM,MS_Cov_BBAM,GC_Grass_BBAM,GC_Shrub_BBAM,GC_Other_BBAM,Overs_rec,Evid_Fl_Fruit,CWD,Euc_Stems_<5cm,NonEuc_ Stem_<5cm DBH:,Euc_Stem_5-9cm,NonEuc_Stem_5-9cm,Euc_Stem_10-19cm,NonEuc_Stem_10-19cm,Euc_Stem_20-29cm,NonEuc_Stem_20-29cm,Euc_Stem_30-49cm,NonEuc_Stem_30-49cm,Euc_Stem_50-79cm,NonEuc_Stem_50-79cm,Euc_Stem _>80cm,NonEuc_Stem_>80cm,Hollows_50-79cm,Hollows_>80cm,BAM_Comp_Score,BAM_Struct_Score,BAM_Funct_Score,BAM_Veg_Integ_Score,BAM_Litter,SLA_avg,total_nitrogen,total_carbon,B_ppm,Na_ppm,Mg_ppm,P_ppm,K_ppm,Ca43_ppm,Ca44_ppm,Mn_ppm,Fe_ppm,Cu_ppm,Zn66_ppm,Zn67_ppm,Sr_ppm,Mo_ppm,Pb_ppm,ungulate_dung_events_20x20,PA_ungulate_dung_ 50cm_50m,PA_macropod_dung_50cm_50m,PA_rabbit-hare_dung_ 50cm_50m
22,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.1,1.5,3.7,1.1,1.2,1.5,1.2,3.5,2.5,1.7,8.5,2.3,2.0,46.3,38.0,24.2,36,2,2,16,9,0,1,5,4,0.35,0.3,1.25,8.2,0,0.05,2.5,25.5,15.2,0,8,0,2,1,16,27,15,4,18,1,17,0,6,0,1,0,0,0,0,0,0,0,84,23,62,49,51,19.981,1.600,50.591,19.566,677.138,2929.433,807.044,10736.837,5979.946,5927.221,288.037,56.627,2.709,26.482,18.955,72.594,0.073,1.051,0,0,63,1
23,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.0,2.5,3.7,1.3,1.1,2.4,2.0,3.8,3.7,1.7,8.2,2.5,2.0,54.1,42.1,32.0,32,2,1,14,9,1,1,3,3,0.6,0.1,1.85,13,0.05,0.1,5.5,36.3,7,2.9,40,0,0,1,15,9,40,10,30,0,0,0,0,0,1,0,1,0,0,0,0,0,74,39,41,49,61,21.095,1.576,51.524,16.374,543.085,1987.801,1027.753,10815.765,3115.974,2952.923,242.586,71.219,3.206,27.114,20.682,36.885,0.125,1.055,1,0,53,0
25,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.2,2.9,4.9,1.5,1.3,3.0,0.4,4.0,3.3,1.4,9.7,2.0,2.6,54.3,49.5,39.5,27,0,2,8,10,0,1,5,3,0,0.4,0.65,1.35,0,0.05,0.6,30.5,21,9,2,0,4,1,12,70,0,50,0,40,6,30,3,8,0,0,3,0,0,0,0,0,68,26,64,48,56,12.899,1.109,52.557,23.200,1991.366,1589.582,702.322,3907.976,6187.410,5972.327,512.187,138.760,4.491,22.704,16.227,35.272,0.116,1.997,0,0,12,0
37,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.4,2.7,5.2,1.3,1.3,2.3,3.1,3.9,2.9,1.6,8.3,2.9,1.9,58.8,46.4,36.1,42,0,2,18,10,0,3,8,3,0,0.2,1.95,14.3,0,0.4,3.5,30,14,2.5,8,0,16,1,20,51,3,16,25,12,20,7,19,1,1,0,1,0,0,0,0,0,90,32,65,57,81,17.544,1.182,51.839,42.441,1467.120,2294.037,648.398,6683.906,6060.031,5893.766,517.241,102.211,2.847,18.073,13.529,72.759,0.080,0.873,1,1,21,0
38,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.0,1.9,5.8,1.2,1.3,1.0,3.5,3.9,2.3,1.8,5.9,3.0,2.0,57.6,44.0,34.2,36,1,1,12,9,2,2,8,4,0.05,0.1,1.25,14.25,0.45,0.6,2,33.7,15,7.5,8,2,6,1,14,13,16,45,11,6,13,2,8,0,4,0,2,0,0,0,0,0,88,35,50,54,77,19.946,1.466,51.629,21.877,1381.951,2173.504,977.807,10080.402,3470.052,3515.605,448.139,81.960,2.771,21.807,15.197,38.156,0.064,0.637,3,1,33,0
39,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.0,1.8,5.8,1.5,1.5,1.0,4.0,4.0,4.0,1.0,6.6,3.0,2.0,62.0,48.9,40.1,42,0,2,17,15,2,2,5,3,0,0.35,6.5,12.7,0.35,0.2,1.5,23,17,0.5,26,0,8,1,26,24,1,20,5,4,7,1,8,0,13,0,0,0,0,0,0,0,83,27,60,51,94,17.031,1.347,49.531,21.233,53.034,3301.177,744.260,12126.685,10608.551,10295.655,555.299,58.246,3.991,33.969,27.510,126.083,0.101,1.201,0,1,14,0
40,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,2.2,3.3,4.7,1.2,1.4,2.1,3.5,3.9,2.6,1.4,8.4,0.9,3.3,56.6,48.1,36.5,22,2,3,9,8,0,1,0,2,2,0.4,1.2,16.75,0,0.1,0,25,18,0,34,8,60,1,9,12,4,47,25,5,18,9,7,1,0,1,0,0,1,0,0,1,55,28,59,45,64,13.455,1.317,52.566,23.022,1639.997,1899.136,685.368,4073.563,4053.543,3673.823,699.002,85.649,3.666,21.844,19.187,30.510,0.062,0.829,1,0,15,0
41,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.6,2.3,5.4,1.5,1.4,1.6,2.3,3.9,4.0,2.0,5.2,4.0,2.0,65.5,46.9,40.0,34,1,3,10,10,1,2,8,3,0.2,0.3,1.3,7.25,0.1,0.3,6.5,25,20,1.5,18,0,4,1,11,11,3,7,8,14,6,4,8,0,12,0,2,0,0,0,0,0,83,25,49,47,97,13.347,1.314,52.373,31.551,1097.622,2123.966,620.862,5920.001,4550.114,4478.293,693.476,93.972,4.946,21.994,17.670,30.071,0.048,0.557,0,0,18,0
42,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,3.1,2.8,4.7,1.4,1.3,2.0,4.0,4.0,3.4,1.8,6.5,3.0,2.0,65.4,43.3,35.3,45,2,4,21,10,1,2,7,3,5.1,0.45,2.8,14.45,0.05,0.3,2.8,36.1,19,2,46,0,18,1,17,27,1,9,9,40,18,3,9,0,4,0,0,0,0,0,0,0,90,39,62,60,77,13.883,1.264,51.916,20.301,1046.419,1821.232,778.712,6437.854,4044.014,4102.639,454.516,117.511,3.492,25.318,20.974,26.268,0.060,1.215,0,0,21,0
43,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.0,2.4,5.8,1.5,1.5,1.0,4.0,4.0,4.0,1.6,4.6,3.0,2.0,63.5,47.1,42.5,32,1,1,14,11,2,1,2,3,2,0.2,1.6,7.6,0.25,0.1,0.4,45,7.2,7.7,14,0,4,1,13,39,2,23,1,56,6,24,6,0,4,0,1,0,0,0,0,0,71,37,65,55,97,8.660,1.267,50.516,13.905,1647.731,1848.039,645.630,5497.490,4993.541,4776.992,283.336,50.845,3.945,19.130,14.203,50.953,0.032,0.485,0,0,12,0
