Plot_id,Site_id,Treatment,PCT_Number,PCT_Name,Establishment,Zone,Easting,Northing,Plot Bearing
22,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,285213,6426004,290
23,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,285322,6426473,270
25,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,279448,6421308,315
37,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,284404,6424458,90
38,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,285326,6425336,300
39,Mangoola Mine,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,284280,6424994,90
40,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,317160,6401068,165
41,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,314916,6386861,295
42,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,314003,6387986,165
43,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,314266,6388650,2
44,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,315547,6392802,315
54,Wambo,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,309535,6391970,30
58,Wambo,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,309188,6392619,25
61,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,315312,6386092,165
84,Bulga,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,324877,6387120,220
94,Bulga,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,56,317682,6383216,50
12,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,56,282291,6427185,335
20,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,282561,6426903,240
21,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,282768,6427135,280
29,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,56,283605,6426848,195
31,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2014,56,283235,6426533,119
32,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,282205,6426919,147
33,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,56,282635,6427320,345
34,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2012,56,281971,6427011,329
35,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2012,56,281985,6426925,325
45,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2010,56,318274,6391422,165
46,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2009,56,319070,6391528,280
47,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,56,319754,6392646,180
48,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,56,319046,6390070,135
49,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,56,319598,6390305,280
50,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2014,56,319801,6388508,75
59,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,56,318161,6392141,40
60,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,56,318132,6392046,320
64,United,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,1992,56,312593,6395537,135
73,Mt Owen,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2010,56,321471,6415165,350
81,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2014,56,318331,6384442,255
82,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,56,318413,6384276,255
83,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,56,319834,6380516,240
88,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,321040,6383661,240
89,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,321139,6383504,240
90,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,320483,6383935,147
91,Bulga,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,56,320624,6383809,240
