Plot_id,Plot identification number,,,,
Site_id,Site name,,,,
Treatment,Treatment (Rehabilitation or Reference),,,,
PCT_Number,East Coast Classification Plant Community Type Number,,,,
PCT_Name,East Coast Classification Plant Community Type Name,,,,
Establishment,Establishment date,,,,
SSC_Foliage_cov,"Visual classification of projected foliage cover and physical surface cover, allocating into a class (1-5) based on % cover of projected perennial vegetation ameliorating the effect of raindrops impacting the soil surface",,,,
SSC_Basal_cov,"Visual classificaiton of the basal cover of perennial vegetation, allocating into a class (1-4), to assess the contribution of below ground biomass of perennial vegetation to nutrient cycling and infiltration processes.",,,,
SSC_Litter _cov,Visual estimation of the % litter cover in the query zone,,,,
SSC_litter_origin,Litter origin - allocating a class (1-2) based on the origin of the litter (local or transported),,,,
SSC_Litter_inc,Litter incorporation- allocating a class (1-4) based on the degree of decomposition/incorporation ,,,,
SSC_Crypt_CovCode,Visual estimation of the % cover cryptogams,,,,
SSC_brokeness,"Visual classification of the extent the soil physical crust is broken, allocating into a class (1-4), to assess the amount of loose soil material available for erosion",,,,
SSC_Erosion_cov,"Visual classification of the severity of erosion, allocating into a class (1-4) based on % erosion cover.",,,,
SSC_Deposited_Cov,"Visual classification of amount of deposited material, allocating into a class (1-4) based on the % cover of alluvium transported and deposited on the query zone",,,,
SSC_roughness,"Visual classification of the resistance of the soil crust to disturbance, allocating into a class (1-5), to assess the ease with which the soil can be mechanically disturbed",,,,
SSC_Rest_adj,Weighted soil surface resistance value accounting for particular soil types,,,,
SSC_Stability,"Visual classification of crust stability, allocating into a class (1-5) based on the cohesion of the crust when wet",,,,
SSC_Texture,Texture - allocating a broad textural class (1-4) based on moist bolus test,,,,
Stability_ind,"Soil Surface Condition - derived stability index (sensu Tongway 1995), value derived from the scores for crust brokenness, surface resistance, stability, erosion, deposited materials, cryptogam, soil cover and litter cover",,,,
Infiltration_ind,"Soil Surface Condition - derived infiltration index (sensu Tongway 1995), value derived from the scores for perennial basal cover, surface roughness, stability, litter cover- origin and decomposition, surface resistance and soil texture",,,,
Nutrient_ind,"Soil Surface Condition - derived nutrient index (sensu Tongway 1995), value derived from the scores for perennial basal cover, liter cover- origin and decomposition, crytogam cover and surface roughness",,,,
NativeP_richness,Native plant richness - BAM 20x20m plot,,,,
EG_Rich,Native Fern richness - BAM 20x20m plot,,,,
EX_Rich,Exotic plant richness - BAM 20x20m plot,,,,
FG_Rich,Native Forb richness - BAM 20x20m plot,,,,
GG_Rich,Native Grass and grasslike richness - BAM 20x20m plot,,,,
HT_Rich,High threat weed richness - BAM 20x20m plot,,,,
OG_Rich,Native Other richness - BAM 20x20m plot,,,,
SG_Rich,Native Shrub richness - BAM 20x20m plot,,,,
TG_Rich,Native Tree richness - BAM 20x20m plot,,,,
EG_Cov,Native Fern cover - BAM 20x20m plot,,,,
EX_Cov,Exotic cover - BAM 20x20m plot,,,,
FG_Cov,Native Forb cover - BAM 20x20m plot,,,,
GG_Cov,Native Grass and grasslike cover - BAM 20x20m plot,,,,
HT_Cov,High threat weed cover - BAM 20x20m plot,,,,
OG_Cov,Native Other cover - BAM 20x20m plot,,,,
SG_Cov,Native Shrub cover - BAM 20x20m plot,,,,
TG_Cov,Native Tree cover - BAM 20x20m plot,,,,
OS_Cov_BBAM,Native overstorey cover - BBAM 50m transect,,,,
MS_Cov_BBAM,Native midstorey cover - BBAM 50m transect,,,,
GC_Grass_BBAM,Native groundcover-grass - BBAM 50m transect,,,,
GC_Shrub_BBAM,Native groundcover-shrub - BBAM 50m transect,,,,
GC_Other_BBAM,Native groundcover-other - BBAM 50m transect,,,,
Overs_rec,Overstorey recruitment present or absent,,,,
Evid_Fl_Fruit,Evidence of flowering and fruits (count),,,,
CWD,Coarse woody debris- Total length of logs (m),,,,
Euc_Stems_ <5cm,Eucalyptus stems <5cm dbh in 50 x 20m plot,,,,
NonEuc_ Stem_ <5cm DBH:,Non-eucalyptus stems <5cm dbh in 50 x 20m plot,,,,
Euc_Stem_5-9cm,Eucalyptus stems 5cm-9cm in 50 x 20m plot,,,,
NonEuc_Stem_5-9cm,Eucalyptus stems 5cm-9cm in 50 x 20m plot,,,,
Euc_Stem_10-19cm,Eucalyptus stems 10cm-19cm in 50 x 20m plot,,,,
NonEuc_Stem_10-19cm,Non-Eucalyptus stems 10cm-19cm in 50 x 20m plot,,,,
Euc_Stem_20-29cm,Eucalyptus stems 20cm-29cm in 50 x 20m plot,,,,
NonEuc_Stem_20-29cm,Non-Eucalyptus stems 20cm-29cm in 50 x 20m plot,,,,
Euc_Stem_30-49cm,Eucalyptus stems 30cm-49cm in 50 x 20m plot,,,,
NonEuc_Stem_30-49cm,Non-Eucalyptus stems 30cm-49cm in 50 x 20m plot,,,,
Euc_Stem_50-79cm,Eucalyptus stems 50cm-79cm in 50 x 20m plot,,,,
NonEuc_Stem_50-79cm,Non-Eucalyptus stems 50cm-79cm in 50 x 20m plot,,,,
Euc_Stem _>80cm,Eucalyptus stems =>80cm in 50 x 20m plot,,,,
NonEuc_Stem_>80cm,Non-Eucalyptus stems =>80cm in 50 x 20m plot,,,,
Hollows_50-79cm,Count of trees with hollows - dbh 50-79cm (note: no hollows observed in smaller trees),,,,
Hollows_>80cm,Count of trees with hollows - dbh >80cm,,,,
BAM_Comp_Score,BAM Composition condition score,,,,
BAM_Struct_Score,BAM Structural condition score,,,,
BAM_Funct_Score,BAM Functional condition score,,,,
BAM_Veg_Integ_Score,BAM Vegetation Integrity condition score,,,,
BAM_LitterCov,BAM Litter cover,,,,
SLA_avg,weighted specific leaf area m2_per_kg,,,,
total_nitrogen,weighted leaf N,,,,
total_carbon,weighted leaf C,,,,
B_ppm,weighted leaf Boron,,,,
Na_ppm,weighted leaf sodium,,,,
Mg_ppm,weighted leaf magnesium,,,,
P_ppm,weighted leaf P,,,,
K_ppm,weighted leaf potassium,,,,
Ca43_ppm,weighted leaf Calcium 43,,,,
Ca44_ppm,weighted leaf calcium 44,,,,
Mn_ppm,weighted leaf manganese,,,,
Fe_ppm,weighted leaf iron,,,,
Cu_ppm,weighted leaf copper,,,,
Zn66_ppm,weighted leaf zinc 66,,,,
Zn67_ppm,weighted leaf zinc 67,,,,
Sr_ppm,weighted leaf strontium,,,,
Mo_ppm,weighted leaf moly,,,,
Pb_ppm,weighted leaf lead,,,,
ungulate_dung_events_20x20,count of events within 20x20m floristic plot,,,,
PA_ungulate_dung_50cm_50m,presence of dung within 25 cm radius of 100 points located every 50cm along a 50m transect,,,,
PA_macropod_dung_50cm_50m,presence of dung within 25 cm radius of 100 points located every 50cm along a 50m transect,,,,
PA_rabbit-hare_dung_50cm_50m,presence of dung within 25 cm radius of 100 points located every 50cm along a 50m transect,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
