Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
22AO,22,Mangoola Mine,11/03/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,4,0,0,1,0,0,0,99,0,0,0,
22AT,22,Mangoola Mine,11/03/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,11,E.crebra,,5,0,85,0,0,0,10,0,30,0,
22BO,22,Mangoola Mine,11/03/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,3,0,0,50,0,0,5,45,0,5,0,
22BT,22,Mangoola Mine,11/03/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,22,E.crebra,,1,0,10,0,0,0,89,0,30,0,
22CO,22,Mangoola Mine,11/03/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,5,0,0,20,0,0,1,79,0,0,0,
22CT,22,Mangoola Mine,11/03/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,9,E.crebra,,0,0,40,0,0,10,50,0,30,0,
22DO,22,Mangoola Mine,11/03/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,4,2,0,20,0,0,2,76,0,0,0,
22DT,22,Mangoola Mine,11/03/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,11,E.crebra,,3,0,30,0,0,0,67,0,30,0,
23AO,23,Mangoola Mine,11/03/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,1,0,40,0,5,0,54,0,0,0,
23AT,23,Mangoola Mine,11/03/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,9,E.crebra,,2,0,40,0,0,1,57,0,40,0,
23BO,23,Mangoola Mine,11/03/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,4,5,0,65,0,0,0,30,0,10,0,
23BT,23,Mangoola Mine,11/03/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,42,E.crebra,,5,0,75,0,0,0,20,50,40,0,
23CO,23,Mangoola Mine,11/03/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1,7,0,33,0,50,0,10,0,0,0,
