Plot_ID,Site_ID,Treatment,Bioregion,Easting,Northing,Plot bearing,Aspect_deg,Slope,Aspect,Exposure_NW,Fire_Severity_2003,Elevation,Climate,Rehab_Yr,Temp_C,Prec_mm,ANPP, SLA,  LDMC,Leaf_N,Leaf_C,Leaf_C_N,Leaf_N_P,Leaf_C_P,Leaf_B,Leaf_Na,Leaf_Mg,Leaf_P,Leaf_Ca43,Leaf_Ca44,Leaf_Mn,Leaf_K,Leaf_Fe,Leaf_Cu,Leaf_Zn66,Leaf_Zn67,Leaf_Mo,Leaf_Pb,Leaf_Sr,Exotic_Cover,Fern_Cov,Forb_Cov,GG_cov,Other_cover,Shrub_cov,Tree_cov,Exotic_R,Fern_R,Forb_R,GG_R,Other_R,Shrub_R,Tree_R,Native_R,Native_cov,Total_R,Logs,<5_adj,5_9_adj,10_19_adj,20_29_adj,30_49_adj,50_79_adj,80+_adj,HTW_cov,PA_recruit,Recruit_TG_SG,Nat_Spp_fruiting,%_spp_fruit,%_TG_SG_recruit,Euc_live_ha,Euc_dead_ha,Acac_ha,Tree_live_ha,mean_live_DBH,StdDev_live_DBH,CV_DBH,Pr_Epicormic,Av_Dist_Tree_m,SumCoverDom,Dominant_Euc,Frt_shan,shannon_div,resprout_w,wooddens_w,basal_area
550,Tailrace,Rehab,South Eastern Highlands,622773,6034783,64,359,7.8,North,1278,unburnt,560,Warm,2010,12.05,929.2,470.92,5.17,528.36,1.51,52.74,39.4,15.98,582.28,28.6580453,107.847682,1923.679658,943.61,8673.850192,8648.288222,432.6275424,7532.186558,314.9616534,8.819177369,37.70124585,29.36974796,1.159998588,3.946146232,14.02378963,1.3,0,0.5,4.6,0,7.2,19,4,0,3,7,0,4,2,16,31.3,20,7.5,8,8,30,0,0,0,0,1.1,1,2,8,50,33.33,45,0,114,159,9.86,4.52,0.46,0.11,3.625,26.1,Eucalyptus_viminalis,1.850966513,1.792407991,0.62,0.61,321.0526316
551,Tailrace,Rehab,South Eastern Highlands,622824,6034786,57,19,3.6,North,1278,unburnt,560,Warm,2010,11.95,933.23,469.59,6.4,455.95,1.7,51.07,31.58,17,501.64,11.42201426,16.34273596,1379.649872,1056.38,4834.377888,4549.433434,73.06704027,6348.81783,108.9363355,5.653572087,28.09876393,18.98053275,0.03267768,2.263291253,10.39630657,2.2,0,0.1,15.3,0,3.5,28,18,0,1,4,0,4,3,12,46.9,30,15,8,13,38,0,0,0,0,0.7,1,1,9,75,14.29,58.33,33.33,41,99.33,10.14,4.22,0.42,0.5,2.65,31.3,Eucalyptus_viminalis,0.408697725,1.454529733,0.69,0.59,210.7142857
552,Tailrace,Reference,South Eastern Highlands,622671,6034719,160,333,11.6,Northwest,1278,Low,575,Warm,N/A,12.19,923.3,472.87,6.28,578.81,1.36,53.82,39.97,16.41,660.8,18.63595583,29.05624954,1746.367631,876.73,4660.19019,4600.20071,316.6101357,6462.267784,298.387984,5.175642116,23.21185297,18.08337707,0.19238151,0.796362655,25.69961911,0.1,0,0.8,20.9,0.3,20.9,35,1,0,7,7,3,16,1,34,77.9,35,122.5,217,50,17,8,8,8,0,0,0,0,10,29.41,0,308.33,8.33,0,308.33,6.82,12.58,1.84,0.08,1.75,54.1,Eucalyptus_dives,0.871695242,1.534775928,0.66,0.62,177.1428571
553,Deadman,Rehab,South Eastern Highlands,623234,6031176,345,268,13.9,West,1278,unburnt,600,Warm,2010,11.93,920.11,468.55,6.49,438.77,2.09,52.71,28.97,14.86,405.43,24.13471487,18.91609135,2728.790013,1560.8,6516.035957,6211.100623,557.6215568,8026.953725,97.52077827,8.809146165,30.8691613,20.94338003,0.018702875,4.637435632,23.52564954,32.6,0.2,0.6,1.8,0.1,6,22,12,1,3,7,1,2,2,16,30.7,28,10,86,57,36,0,0,0,0,30.4,1,2,9,56.25,50,178.57,28.57,40,218.57,5.76,4.17,0.72,0.28,2.5,28.4,Eucalyptus_viminalis,0.283323386,1.669737113,0.61,0.6,272.7272727
554,Tailrace,Reference,South Eastern Highlands,623624,6033494,145,64,2.9,Northeast,1078,Very High,560,Warm,N/A,12.06,921.99,470.68,5.8,501.95,1.81,52.9,31.58,23.33,709.28,12.27407128,23.76881915,2069.356111,836.19,6638.386189,6572.909636,226.3502286,6647.895743,117.9470475,4.706498931,24.67507685,17.73435037,0.045414844,1.025757554,27.47077094,0.4,0,0.7,1.7,0.1,22.6,27,4,0,6,5,1,14,2,28,52.1,32,127.5,13,0,5,0,3,10,0,0.3,0,0,9,32.14,0,30,0,47,77,26,25.91,1,0.58,4.25,45,Eucalyptus_viminalis,1.219228941,1.859286026,0.58,0.57,211.1111111
555,KaiserSandWash,Rehab,South Eastern Highlands,623906,6026869,222,62,10.2,Northeast,778,unburnt,1105,Cool-wet,2005,9.23,1196.64,442.85,6.78,467.37,1.71,52.05,31.46,18.04,560.43,15.61224454,11.27759087,1871.997928,1011.57,5941.989646,5818.091924,844.7430449,6488.116839,50.39898642,5.362019576,23.30742549,16.17777007,0.001632241,2.253424525,10.61424662,72.6,0,0.9,1,0,1.8,20.3,15,0,4,1,0,6,6,17,24,32,7.5,41,16,28,6,3,0,0,40.6,1,3,10,58.82,25,93.75,6.25,1,94.75,8.92,9.43,1.06,0.43,2.875,20.5,Eucalyptus_robertsonii,0.450561209,1.685905027,0.73,0.55,270.9359606
556,KaiserSandWash,Rehab,South Eastern Highlands,623835,6026951,19,280,5.4,West,653,unburnt,1110,Cool-wet,2005,9.06,1229.76,442.2,5.53,508.01,1.29,53.31,42.31,13.79,581.54,19.46605447,21.20402029,1542.794717,1021.32,12421.9707,12285.73468,1455.72668,10077.6109,76.10783267,5.929259991,14.7511542,12.01136391,0.05566114,0.45132699,14.84508883,12.3,0,1.2,0,0,3.1,33.5,12,0,6,0,0,7,3,16,37.8,28,0,6,50,83,39,11,0,0,10.8,1,3,7,43.75,30,188.89,5.56,0,188.89,14.46,7.46,0.52,0.12,1.95,34.1,Eucalyptus_viminalis,0,1.508888086,0.71,0.56,167.1641791
557,Dogleg,Rehab,South Eastern Highlands,624234,6029283,16,17,19.7,North,1079,unburnt,790,Warm,2006,10.54,1001.35,451.58,7.81,414.05,2.1,52.58,27.6,14.83,358.62,23.7478506,120.90893,1927.507936,1772.16,10219.62551,10166.98337,691.6895962,11468.37153,127.4323519,5.886814761,26.85718351,19.48566223,0.099067771,0.815900945,17.12867952,2,0,0.5,10.5,0,1.7,39.5,15,0,5,6,0,5,4,20,52.2,35,20,28,39,50,28,0,0,0,0.7,1,2,9,45,22.22,144.44,27.78,45,189.44,11.37,7.31,0.64,0.04,2.7,40.1,Eucalyptus_viminalis,0.096198534,1.681100904,0.7,0.57,144.3037975
558,Dogleg,Rehab,South Eastern Highlands,624261,6029362,320,311,18.7,Northwest,1079,unburnt,765,Warm,2006,10.65,989.39,452.59,6.74,450.63,2.08,52.72,25.97,16.1,392.26,17.8173152,32.14364789,1946.381889,1466.04,10620.7746,10679.05716,272.1765513,10501.96375,102.2276837,6.957894254,30.18298602,21.901244,0.21105185,0.557386675,11.28749283,2.1,0,0.5,7.8,0,6.1,49.3,11,0,5,5,0,6,4,20,63.7,31,2.5,25,113,163,25,0,0,0,0.6,1,1,11,55,10,325,75,50,375,11.06,5.11,0.46,0.23,1.2,54.5,Eucalyptus_viminalis,0.821811885,1.513078814,0.68,0.59,119.6754564
560,Deadman,Rehab,South Eastern Highlands,623236,6031146,343,276,9.4,West,1278,unburnt,600,Warm,2010,11.95,919.27,468.78,6.4,395.33,2.68,52.69,22.58,20.02,381.02,16.97107406,46.29039847,2123.635033,1456.1,6798.427803,6734.205943,396.8202952,9077.557835,139.5288536,11.27341183,31.18193859,21.82051611,0.07944252,4.834141579,17.96363717,52,0,0.1,3.2,0,4.5,40.5,18,0,1,7,0,6,4,18,48.3,36,2.5,15,15,30,0,0,0,0,20.6,0,0,4,22.22,0,60,30,44,104,8.67,4.32,0.5,0.25,2.45,44.3,Eucalyptus_viminalis,0.024355245,1.833157839,0.6,0.59,145.6790123
