Sample_ID,Plot_ID,Site_ID,Date,Treatment,Subplot,Patch,Elevation,Precip_mm,Temp_C,ANPP,Surf_R,Crust_R,Crust_Rcode,Crust_b,Crust_S,Crypt_Cov,Crypt_CovCode,Erosion_cov,Deposited_Cov,Foliage_cov,Basal_cov,Litter _cov,Litter_class,litter_origin,Litter_inc,Litter_dpth,Litter_complex,Texture,Plant_R,Stability_ind,Infiltration_ind,Nutrient_ind,Foliage_Cover_<0.5,Logs_<0.5,Compost,Rock,Bare_soil,Fol_cov_Shrub_>0.5m ,FC_Tree>0.5m high,FC_ Other_ >0.5m ,dist_Tree,Bare_rock,Foliage_Cov_all,MIR_HUM,MIR_POC,MIR_ROC,MIR_TOC,MIR_TN,MIR_C_N,P_mg_Kg,pH,EC _microS_cm,Total_PLFA,Gram_pos_bact_comm,Gram_neg_baterial_comm,General_bacteria_comm,Actinobacteria_comm,Fungi_comm,Protozoa_comm,arbuscular_myc_comm,Fungi_Bact,Litter_totalwt,Sticks_bark,Leaves_treeshrubs,Leaves_und,Coarse_frass,Fine_frass,Seed_fruits_gms,Richness_reprod,Abund_fruits,Abundance_inverts,Invert_richness,abund_inver_m3,invert_R_m3,AB,BG,CB,N/AG,PHO,XYL,LAP,well_wieght,Ala,Ara,Arg,Asp,Mal,Raf,Suc,H2O,Xyl,reads.fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_OrchidMycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_OrchidMycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_OrchidMycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,reads.bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic,moisture_%
550AO,550,Tailrace,19.02.19,Rehab,A,O,560,929.20,12.05,470.92,3,3,3.33,0,0,0,0,3,4,3,2,60,4,1,1.3,10,5.2,3,4,58.5472973,33.3266129,26.15384615,15,0,0,15,10,0,25,0,2.5,25,25,1.19,1,0.45,3.2,0.271540039,11.78463409,15.24544276,6.2,51.4,47.53018079,7.166137671,9.942857056,7.919052858,2.617248561,4.377564987,0.306583491,1.356425497,0.2139535,151,23,28,2,15,14,0.01,1,1,0,0,0,0,19.3,136,52.4,36.9,1.2,106,12.2,0.321666667,0.787760616,1.22180221,1.413957272,0.787827069,1.328924781,1.04140122,1.409823401,0.560278009,1.028773514,36089,579,745.0523256,4.385170721,7,26,3,23,11,9,36.125,3,35.25,29,1.683534441,1.233477411,0.691925653,2.265438562,0.071064703,0.002078555,0.106006307,0.005017202,0.023150803,0.15625,38789,3492,4478.945698,7.069278279,1011,634,1320.49435,758.4460432,5.850836523,5.245188715,0.355219806,0.250023534,9.54
550AT,550,Tailrace,19.02.19,Rehab,A,T,560,929.20,12.05,470.92,3,2,6.66,0,0,0,0,4,4,2,1,90,7,1.5,1.7,37,17.85,3,2,79.93243243,63.52822581,56.02564103,5,0,0,5,0,0,40,0,0,5,40,1.18,0.57,0.41,2.9,0.175940492,16.48284584,13.62059619,6.39,43.2,11.938949,1.445019073,2.914883596,1.685582376,0.673618464,1.076660163,0.218020786,0.308877179,0.207368402,426,177,35,0.1,63,31,0.25,3,5,3,3,12,12,24.2,152.8,28.2,61.9,196.1,40.3,257,0.297916667,0.873411176,1.052641578,1.088434536,0.78912412,1.135617042,0.938737737,1.179260167,0.570292287,0.978285353,29721,606,756.368932,4.443636705,2,36,4,9,9,2,57.33333333,4,10,15.25,0.562335145,1.578622323,0.741584972,1.501277185,0.482351238,0.000286697,0.149942661,0.011682913,0.003440367,0.010177752,43742,4010,5454.405294,7.185385129,1421,778,1867.449013,1015.834337,6.230521622,5.638224993,0.400075308,0.201685023,3.79
550BO,550,Tailrace,19.02.19,Rehab,B,O,560,929.20,12.05,470.92,3,2,6.66,3,3,15,3,4,4,4,1,15,2,1,1.3,11,2.6,3,2,66.49038462,35.93283582,22.3255814,0,0,0,65,5,0,0,0,3.5,70,0,0.34,0.19,0.14,0.96,0.076443889,12.55823072,7.143954561,6.54,26.4,19.49068389,3.053498547,3.627802727,3.035841749,1.527780194,1.144503395,0.624307979,0.588131466,0.145576236,66,9,17,4,25,9,0,0,0,0,0,0,0,153.2,1092.9,238.5,628.1,10.2,871.6,4.9,0.321666667,0.655297438,1.144206161,1.123385378,0.807768567,1.217184579,1.080505816,1.301792344,0.61567752,0.934264058,25537,462,575.2246377,3.677224058,16,36,2,14,9,22,39.6,2,20.25,15.25,2.28839801,0.983257693,0.214559155,1.254241498,0.26313762,0.003870413,0.430834289,0.001290138,0.011682913,0.04952695,55512,4348,6110.1802,7.32000913,1317,833,1862.859504,1176.787162,6.240199497,5.610584363,0.337569425,0.252000377,4.04
550BT,550,Tailrace,19.02.19,Rehab,B,T,560,929.20,12.05,470.92,3,2,6.66,2,2,2,2,2,4,2,1,74,4,1.5,1.7,18,10.2,3,2,59.27884615,48.24626866,37.6744186,2,0,0,5,15,0,25,0,0,20,25,0.79,0.4,0.24,1.75,0.146152343,11.97380737,11.67499048,6.62,57.3,11.8201303,1.976957975,2.749832598,1.547643342,0.907512685,0.448485972,0.163606879,0.349025379,0.079232702,180,45,42,9,45,20,1.2,5,24,5,3,20,12,161.2,1096.8,268,323.5,9.7,840.2,8.6,0.297916667,0.608036341,0.738276304,0.850190145,0.670968823,0.934469601,0.806650825,0.955221987,0.446795852,0.962575221,31586,564,666.7712766,4.707098599,3,16,0,20,9,3,22.25,0,30.66666667,11.25,1.028183859,0.845795426,0,2.149042475,1.957402511,0.000860092,0.100774083,0,0.010536124,0.001720183,35012,3488,4475.020468,7.104520328,1198,654,1486.698276,872.0046296,6.064918205,5.345525355,0.414995764,0.217217359,4.7
550CO,550,Tailrace,19.02.19,Rehab,C,O,560,929.20,12.05,470.92,2,2,6.66,3,3,10,2,4,4,4,2,40,3,1,1.7,11,5.1,3,2,66.49038462,40.59701493,25.81395349,25,0,0,25,0,10,0,0,3,25,10,0.96,0.71,0.41,2.8,0.239179964,11.70666619,9.151912244,6.28,38.9,19.40502161,2.655436419,4.070338978,3.253433834,1.114382811,1.727136677,0.317292431,0.518508324,0.213400604,146,47,18,5,16,11,0,0,0,0,0,0,0,435.6,4113.8,1473.4,1534.6,39,2896.4,16.8,0.305208333,0.371282497,0.43996609,0.46188038,0.407975408,0.459183628,0.508978087,0.433766763,0.391955897,0.588018569,39079,500,674.0056818,3.684194031,6,27,1,12,8,8.25,31.57142857,1,24.5,14,1.31565807,0.790064319,0,1.850257422,0.056551303,0.001218463,0.114893922,0.00265195,0.0078125,0.187141628,36072,3929,5187.694915,7.182986015,1244,764,1617.096958,994.3489933,6.069358507,5.538791242,0.368304622,0.237362327,10.81
550CT,550,Tailrace,19.02.19,Rehab,C,T,560,929.20,12.05,470.92,3,2,6.66,4,4,5,2,4,4,2,2,75,4,1.5,1.7,42,10.2,3,3,73.70192308,53.84328358,40,10,0,0,10,0,5,50,0,0,10,55,1.33,1.28,0.6,4.11,0.335836884,12.238084,11.77390347,6,40.9,20.78501954,2.311598165,4.581495622,3.04337918,1.021985366,2.415154436,0.269455074,0.488924823,0.289133298,514,262,26,3,47,38,0.1,2,3,1,1,4,4,31.2,43.9,6.8,98.1,106.8,6,111,0.326458333,0.456750737,0.59111724,0.538757213,0.575313481,0.757045995,0.536292,0.471649376,0.421820362,0.592788849,34077,665,895,4.279959107,5,37,3,16,8,11,51,3,19.125,18,1.043793881,1.303370628,0.843571444,2.549070232,1.839789587,0.000931766,0.199756307,0.002078555,0.00315367,0.001218463,5225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.28
550DO,550,Tailrace,19.02.19,Rehab,D,O,560,929.20,12.05,470.92,2,2,6.66,0,0,0,0,4,4,4,1,15,2,1.5,1.7,5,5.1,3,3,63.04054054,35.80645161,20.76923077,15,0,0,73,10,0,0,0,5.5,83,0,0.83,0.71,0.28,2.38,0.199464066,11.93197377,20.33084507,6.87,75.5,15.51696861,2.694646854,2.882656677,2.314372523,1.242977174,0.856284426,0.315847541,0.540937807,0.124344866,16,0,8,2.2,2.1,1.1,0,3,4,2,2,8,8,338.2,2828,970.4,576.5,32.1,1524.5,17.5,0.305208333,0.463833859,0.615325093,0.69763517,0.672793793,0.746175968,0.694875072,0.567762635,0.414351556,0.640167047,32405,476,584.516129,4.417046464,15,9,2,22,2,16.6,10.125,2,26.16666667,2,2.510394311,2.091138883,0.684616278,1.911639584,0.31246478,0.003010321,0.001290138,0.001648509,0.090668005,0.003798739,31375,3617,4483.138645,7.106661417,1058,650,1289.633772,807.8347458,6.109480821,4.981837492,0.30476325,0.293749412,12.06
550DT,550,Tailrace,19.02.19,Rehab,D,T,560,929.20,12.05,470.92,2,2,6.66,0,0,0,0,4,4,4,1,70,4,1.5,1.7,17,10.2,3,2,69.7972973,46.08870968,33.84615385,0,0,0,20,10,0,30,0,0,30,30,2.53,2.48,1.3,7.69,0.521106548,14.75705886,22.25202105,5.9,68.8,27.23946076,3.669494822,6.73092427,4.148487396,1.563072498,2.282651447,0.537493848,0.610725517,0.184305708,234,32,16,9,41,39,0.86,1,5,0,0,0,0,76.4,764.4,244.2,280.6,15.1,813.9,10.3,0.326458333,0.481508085,0.569196681,0.596363094,0.567615622,0.609581558,0.51771132,0.543470493,0.46027319,0.462143363,21272,538,641.9101124,4.02319576,2,27,3,13,9,2,32.78571429,3,17,9.125,0.673011667,0.806038712,0.83140252,1.967859201,2.137503113,0.000358372,0.300243693,0.001146789,0.005662271,0.001576835,27035,3304,4096.528467,6.98498395,1129,588,1358.389381,734.6851852,5.914939127,5.364199097,0.416172456,0.198249082,8.78
551AO,551,Tailrace,19.02.19,Rehab,A,O,560,933.23,11.95,469.59,3,3,3.33,4,4,35,3,4,4,4,1,20,2,1,1.3,12,2.6,3,9,65.69711538,31.5858209,22.3255814,5,0,0,40,0,0,0,0,3.5,40,0,0.79,0.53,0.37,2,0.180984358,11.05067876,20.88635072,6.09,59.2,13.96789555,2.81700237,2.568709967,2.076142635,1.338261137,0.320960615,0.549483482,0.424990816,0.050804152,36,0.8,17,7,4,1.3,0.03,1,1,0,0,0,0,98.9,1170,397.2,562,12.5,893.3,6.4,0.329895833,0.533439497,0.613616093,0.599150998,0.63071089,0.630376467,0.620064665,0.560730035,0.450561493,0.598550134,32668,438,540.0054348,3.297228781,12,18,2,18,10,36.5,20.57142857,2,19.33333333,10.66666667,2.247927731,0.825073599,0.319690598,1.909427066,1.162344409,0.001791858,0.029816514,0.002938647,0.012327982,0.017416858,27512,3865,4889.714104,7.373414634,1155,845,1431.820455,1021.687117,6.251765302,5.799862389,0.32792055,0.287207004,10.42
551AT,551,Tailrace,19.02.19,Rehab,A,T,560,933.23,11.95,469.59,5,2,6.66,4,4,3,2,4,4,4,1,70,4,1.5,1.7,60,10.2,3,2,73.70192308,55.70895522,42.3255814,1,0,0,20,5,0,30,0,0,25,30,1.22,0.78,0.61,3.18,0.274147992,11.59957427,19.20915452,N/A,N/A,15.45826402,2.508975816,3.431582368,2.167469887,1.371184293,0.703108227,0.152779721,0.543429285,0.098513368,544,238,14,43,30,22,0,0,0,0,0,0,0,16.4,167.6,39.7,44.3,131.9,27.7,184,0.329895833,0.542584241,0.661522312,0.677446739,0.724907725,0.626731591,0.710445928,0.674506298,0.565297811,0.637410389,23466,640,762.7130435,4.480857511,11,34,2,23,16,12.5,39.78571429,2,23.9,22,2.149263105,1.267817457,0.693147181,2.419361111,0.766884592,0.002436927,0.131379014,0.000286697,0.013474771,0.072176032,39732,4139,5583.197006,7.392158015,1297,886,1724.313025,1173.114198,6.308874089,5.755799698,0.353054693,0.28626565,5.52
