Column_Title,Description 1,Description 2,Description 3
Sample_ID,Unique quadrat sample ID,,
Plot_ID,Plot_ID number,,
Site_ID,"Rehab location, one of seven restoration areas.  Reference plots, although not located on the restoration site, are located within a spatial domain within close proximity",,
Date,"Sample date, applies to date of soil sampling",,
Treatment,Reference or Rehab,,
Subplot,"Suplots A,B,C,D within Plot",,
Patch,Either open (O) or tree (T). ,,
Elevation,in m asl,,
Precip_mm,"annual mean average, from ANUCLIM",,
Temp_C,"annual mean average, from ANUCLIM",,
ANPP,estimated ANPP for forest and woodland ecosystemns based on non-linear relationship between temp and precip of the class A and B sites within the NPP Multi-Biome: Global Primary Production Data Initiative data set,,
Surf_R,"Visual classification of soil surface roughness, allocating surface roughness into a class (1-5), to assess capacity to capture and retain mobile resources such as water, propagules, soil and organic matter",,
Crust_R,"Visual classification of the resistance of the soil crust to disturbance, allocating into a class (1-5), to assess the ease with which the soil can be mechanically disturbed",,
Crust_Rcode,Weighted value accounting for particular soil types,,
Crust_b,"Visual classification of the extent the soil physical crust is broken, allocating into a class (1-4), to assess the amount of loose soil material available for erosion",,
Crust_S,"Visual classification of crust stability, allocating into a class (1-5) based on the cohesion of the crust when wet",,
Crypt_Cov,Visual estimation of the % cover cryptogams,,
Crypt_CovCode,Weighted value accounting for particular soil types (sands and self mulching clays),,
Erosion_cov,"Visual classification of the severity of erosion, allocating into a class (1-4) based on % erosion cover.",,
Deposited_Cov,"Visual classification of amount of deposited material, allocating into a class (1-4) based on the % cover of alluvium transported and deposited on the query zone",,
Foliage_cov,"Visual classification of projected foliage cover and physical surface cover, allocating into a class (1-5) based on % cover of projected perennial vegetation ameliorating the effect of raindrops impacting the soil surface",,
Basal_cov,"Visual classificaiton of the basal cover of perennial vegetation, allocating into a class (1-4), to assess the contribution of below ground biomass of perennial vegetation to nutrient cycling and infiltration processes.",,
Litter _cov,Visual estimation of the % litter cover in the query zone,,
Litter_class,Litter cover class - allocating a cover class (1-10) based on % cover and depth,,
litter_origin,Litter origin - allocating a class (1-2) based on the origin of the litter (local or transported),,
Litter_inc,Litter incorporation- allocating a class (1-4) based on the degree of decomposition/incorporation ,,
Litter_dpth,Litter depth- recording the litter depth (mm),,
Litter_complex,"Litter complex- combined score for litter cover, depth and degree of incorporation",,
Texture,Texture - allocating a broad textural class (1-4) based on moist bolus test,,
Plant_R,Richness of plant species rooted in the quadrat,,
Stability_ind,Soil Surface Condition - derived stability index (sensu Tongway 1995),,
Infiltration_ind,Soil Surface Condition - derived infiltration index (sensu Tongway 1995),,
Nutrient_ind,Soil Surface Condition - derived nutrient index (sensu Tongway 1995),,
Foliage_Cover_<0.5,visual estimate of % foliage cover <0.5m high,,
Logs_<0.5,visual estimate of log (>10cm dimeter) cover,,
Compost,visual estimate of compost cover %,,
Rock,visual estimate rock % cover,,
Bare_soil,visual estimate of % bare ground,,
Fol_cov_Shrub_>0.5m ,visual estimate of % shrub foliage cover>0.5m,,
FC_Tree>0.5m high,visual estimate of % tree foliage cover>0.5m,,
FC_ Other_ >0.5m ,visual estimate of % foliage cover>0.5m not tree or shrubs,,
dist_Tree,distance to nearest tree from qudrat (m),,
Bare_rock,sum of bare ground and rock cover (%),,
Foliage_Cov_all,sum of foliage cover >0.5m high (%),,
Quadrat_treament,"Identifies those rehab quadrats that have low vegetation cover and high cover of rock and bareground i.e. where foliage cover >0.5m is less than5%,rock+bare is >30%,foliage cover <0.5m high is <30%",,
MIR_HUM,Humic carbon,,
MIR_POC,Particulate organic carbon,,
MIR_ROC,Reactive organic carbon,,
MIR_TOC,Total organic carbon,,
MIR_TN,Total N (%),,
MIR_C_N,C:N ratio,,
P_mg_Kg,Colwell P,,
pH,Soil pH,,
EC _microS_cm,Electrical conductivity micro-siemens/cm,,
Total_PLFA,ug/g soil,,
Gram_pos_bact_comm,ug/g soil,,
Gram_neg_baterial_comm,ug/g soil,,
General_bacteria_comm,ug/g soil,,
Actinobacteria_comm,ug/g soil,,
Fungi_comm,ug/g soil,,
Protozoa_comm,ug/g soil,,
arbuscular_myc_comm,ug/g soil,,
Fungi_Bact,ug/g soil (fungal/bacterial markers),,
Litter_totalwt,Total weight (g) all bagged litter,,
Sticks_bark,Weight (g) leaves and bark,,
Leaves_treeshrubs,Weight (g) trees and shrubs,,
Leaves_und,Weight (g) understorey leaves,,
Coarse_frass,"Weight (g) of coarse Frass (broken leaves, twigs and bark >4mm diameter <40mm length)",,
Fine_frass,Weight (g) of Fine frass (litter components <4mm >2mm),,
Seed_fruits_gms,"Weight (g) reproductive material (seeds, fruits, pods)",,
Richness_reprod,species richness,,
Abund_fruits,"Abundance (count) of reproductive material (seeds, fruits, pods)",,
Abundance_inverts,count of individuals,,
Invert_richness,richness of species,,
abund_inver_m3,abundance adjusted for litter volume,,
invert_R_m3,abundance adjusted for litter volume,,
AB,?-Glucosidase?,Releases glucose from soluble saccharides,
BG,?-Glucosidase,Releases glucose from cellulose,
CB,Cellobiohydrolase,Releases disaccharides from cellulose,
N/AG,N-acetyl-glucosaminidase,Degrades chitin,
PHO,Phosphatase,Releases phosphate ions from phosphate group,
XYL,Xylosidase,Degrades hemi-cellulose,
LAP,Leucine-amino-peptidase,Degrades protein into amino acids,
Ala,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),microresp data - means from 2 lab reps,Alanine
Ara,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),microresp data - means from 2 lab reps,Arabinose
Arg,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),microresp data - means from 2 lab reps,Arginine
Asp,carbondioxide rate after 24 hrs incubation (µg CO2-C/g soil/h ),microresp data - means from 2 lab reps,Aspartic acid
